"Name","model_type","backbone_run_name","frac_keep","contrastive_loss_weight","loss_norm_type","num_oxels","State","Runtime","learning_rate","trainer/global_step","training/accuracy_epoch","training/accuracy_step","training/loss","training/loss_epoch","training/loss_step","training/step","validation/accuracy","validation/loss","validation/loss_epoch","validation/loss_step","validation/step","validation/accuracy/dataloader_idx_0","validation/id/accuracy/dataloader_idx_0","validation/id/loss/dataloader_idx_0","validation/loss/dataloader_idx_0","validation/ood/accuracy/dataloader_idx_1","validation/ood/loss/dataloader_idx_1","ID","num_parameters"
"usual-pyramid-338","BackboneColoredMNIST","","0.25","1","inf","32","finished","1085","0.001","29999","","","","0.00002637442230479792","0.000022590493244933896","","","0.000025901978006004356","","","","","","","","","","5jy4zy09","993664"
"earthy-meadow-337","BackboneColoredMNIST","","0.25","0.9","inf","32","finished","1066","0.001","29999","","","","0.00206670630723238","0.0021204231306910515","","","0.0019514641026034951","","","","","","","","","","19f9bm00","993664"
"trim-totem-336","BackboneColoredMNIST","","0.25","0.7","inf","32","finished","1056","0.001","29999","","","","0.00527982460334897","0.005444549489766359","","","0.0050128488801419735","","","","","","","","","","2c1zr18h","993664"
"solar-plant-335","BackboneColoredMNIST","","0.25","0.5","inf","32","finished","1050","0.001","29999","","","","0.007844225503504276","0.007707641460001469","","","0.00747996149584651","","","","","","","","","","pm5suynv","993664"
"breezy-paper-334","BackboneColoredMNIST","","0.25","0.3","inf","32","finished","1034","0.001","29999","","","","0.01013606134802103","0.010030966252088548","","","0.009742814116179945","","","","","","","","","","lzic1wth","993664"
"distinctive-sound-333","BackboneColoredMNIST","","0.25","0.1","inf","32","finished","1014","0.001","29999","","","","0.013514328747987747","0.013601343147456646","","","0.013065236620604992","","","","","","","","","","bgn7i52o","993664"
"fresh-smoke-332","BackboneColoredMNIST","","0.25","0","inf","32","finished","810","0.001","29999","","","","0.014048228971660135","0.013788716867566109","","","0.013503355905413628","","","","","","","","","","jrovz5nx","993664"
"floral-wind-331","BackboneColoredMNIST","","0.25","1","inf","32","finished","1073","0.001","29999","","","","0.0000024544262942072237","0.000002122707428497961","","","0.000001359009957013768","","","","","","","","","","gxrakfer","993664"
"lemon-shape-330","BackboneColoredMNIST","","0.25","0.9","inf","32","finished","1052","0.001","29999","","","","0.0021393958013504744","0.0021968178916722536","","","0.0020090246107429266","","","","","","","","","","g4k91r3j","993664"
"morning-planet-329","BackboneColoredMNIST","","0.25","0.7","inf","32","finished","1047","0.001","29999","","","","0.005079091526567936","0.004959552548825741","","","0.00481716962531209","","","","","","","","","","fdn7siaq","993664"
